"exp","exp href","exp 2","wd51","wd51 2","wd51 3","wd51 4","wd55","wd22 2","wd22 3","wd22 4","wd22 6","wd22 7","inputimg","inputimg 2","sf","sf href","sf 2","inputimg 3","inputimg 4"
"","","","MAS","NDLS","18:40","18:45","00:05H","Y","Y","Y","Y","Y","1A","2A","12615","https://etrain.info/train/Grand-Trunk-Exp-12615/schedule","GRAND TRUNK EXP","3A","SL"
"","","","LTT","AYC","19:45","19:50","00:05H","Y","X","X","X","X","2A","3A","22129","https://etrain.info/train/Tulsi-Express-22129/schedule","TULSI EXPRESS","SL",""
"","","","BKN","BSP","19:45","19:50","00:05H","Y","X","X","X","X","1A","2A","20846","https://etrain.info/train/Bkn-Bsp-Exp-20846/schedule","BKN BSP EXP","3A","3E"
"","","","BGKT","BSP","19:45","19:50","00:05H","Y","X","X","X","X","1A","2A","20844","https://etrain.info/train/Bgkt-Bsp-Exp-20844/schedule","BGKT BSP EXP","3A","3E"
"","","","NGP","INDB","20:30","20:35","00:05H","Y","Y","Y","Y","X","EC","CC","","","","",""
"","","","BJU","ERS","20:55","21:00","00:05H","X","X","X","X","X","1A","2A","12521","https://etrain.info/train/Rapti-Sagar-Exp-12521/schedule","RAPTI SAGAR EXP","3A","SL"
"","","","GKP","TVCN","20:55","21:00","00:05H","Y","Y","X","X","X","1A","2A","12511","https://etrain.info/train/Rapti-Sagar-Exp-12511/schedule","RAPTI SAGAR EXP","3A","SL"
"","","","GKP","SC","20:55","21:00","00:05H","X","X","X","X","X","1A","2A","12589","https://etrain.info/train/Gkp-Sc-Express-12589/schedule","GKP SC EXPRESS","3A","SL"
"","","","GKP","YPR","20:55","21:00","00:05H","X","X","X","X","X","1A","2A","22533","https://etrain.info/train/Gkp-Ypr-Express-22533/schedule","GKP YPR EXPRESS","3A","SL"
"","","","GKP","YPR","20:55","21:00","00:05H","X","X","X","X","X","1A","2A","12591","https://etrain.info/train/Gkp-Ypr-Express-12591/schedule","GKP YPR EXPRESS","3A","SL"
"","","","FZR","SEY","21:50","21:55","00:05H","Y","Y","Y","Y","Y","2A","3A","20424","https://etrain.info/train/Patalkot-Exp-20424/schedule","PATALKOT EXP","3E","SL"
"","","","RKMP","REWA","22:10","22:15","00:05H","Y","Y","Y","Y","Y","1A","2A","12185","https://etrain.info/train/Rewanchal-Exp-12185/schedule","REWANCHAL EXP","3A","3E"
"","","","ASR","NED","22:40","22:45","00:05H","Y","Y","Y","Y","Y","1A","2A","12716","https://etrain.info/train/Sachkhand-Exp-12716/schedule","SACHKHAND EXP","3A","SL"
"","","","RKMP","NZM","22:53","22:58","00:05H","Y","Y","Y","Y","Y","1A","2A","12155","https://etrain.info/train/Bhopal-Express-12155/schedule","BHOPAL EXPRESS","3A","3E"
"07076","https://etrain.info/train/Gkp-Hyb-Spl-07076/schedule","GKP HYB SPL","GKP","HYB","23:00","23:05","00:05H","X","X","X","X","X","2A","3A","","","","SL",""
"","","","SBC","NDLS","23:00","23:05","00:05H","Y","Y","Y","Y","Y","1A","2A","12627","https://etrain.info/train/Karnataka-Exp-12627/schedule","KARNATAKA EXP","3A","SL"
"","","","GKP","CSMT","23:00","23:05","00:05H","X","X","X","X","X","","","12597","https://etrain.info/train/Gkp-Cstm-Jansadharan-12597/schedule","GKP CSTM JANSADHARAN","",""
"","","","ERS","BJU","23:40","23:45","00:05H","X","X","X","X","X","1A","2A","12522","https://etrain.info/train/Raptisagar-Exp-12522/schedule","RAPTISAGAR EXP","3A","SL"
"","","","YPR","GKP","23:40","23:45","00:05H","X","X","X","X","X","1A","2A","12592","https://etrain.info/train/Gorakhpur-Exp-12592/schedule","GORAKHPUR EXP","3A","SL"
"","","","TVCN","GKP","23:40","23:45","00:05H","Y","Y","X","X","X","1A","2A","12512","https://etrain.info/train/Raptisagar-Exp-12512/schedule","RAPTISAGAR EXP","3A","SL"
"","","","JBP","NZM","23:53","23:58","00:05H","Y","Y","Y","Y","Y","1A","2A","12192","https://etrain.info/train/Jbp-Nzm-Sf-Exp-12192/schedule","JBP NZM SF EXP","3A","SL"
"","","","YPR","CDG","00:02","00:10","00:08H","Y","X","X","X","X","1A","2A","22685","https://etrain.info/train/Ypr-Skrantiexp-22685/schedule","YPR  SKRANTIEXP","3A","SL"
"","","","YPR","NZM","00:02","00:10","00:08H","Y","X","X","X","X","1A","2A","12629","https://etrain.info/train/Sampark-Kranti-12629/schedule","SAMPARK KRANTI","3A","SL"
"","","","NED","NZM","00:00","00:10","00:10H","X","X","X","X","X","2A","3A","12753","https://etrain.info/train/Marathwada-Smpk-12753/schedule","MARATHWADA SMPK","SL",""
"11085","https://etrain.info/train/Smvb-Gwl-Exp-11085/schedule","SMVB GWL EXP","SMVB","GWL","00:00","00:10","00:10H","X","X","X","X","X","2A","3A","","","","3E","SL"
"","","","NGP","ASR","00:02","00:12","00:10H","X","X","X","X","X","1A","2A","22125","https://etrain.info/train/Ngp-Asr-Ac-Exp-22125/schedule","NGP ASR AC EXP","3A",""
"","","","NED","SGNR","00:20","00:30","00:10H","Y","X","X","X","X","2A","3A","12485","https://etrain.info/train/Ned-Sgnr-Expres-12485/schedule","NED SGNR EXPRES","3E","SL"
"","","","NED","ASR","00:20","00:30","00:10H","X","X","X","X","X","2A","3A","12421","https://etrain.info/train/Ned-Asr-Sup-Exp-12421/schedule","NED ASR SUP EXP","SL",""
"","","","NED","AADR","00:20","00:30","00:10H","X","X","X","X","X","1A","2A","22709","https://etrain.info/train/Ned-Aadr-Sf-Exp-22709/schedule","NED AADR SF EXP","3A","SL"
"","","","NED","SGNR","00:20","00:30","00:10H","X","X","X","X","X","2A","3A","12439","https://etrain.info/train/Ned-Sgnr-Exp-12439/schedule","NED SGNR EXP","SL",""
"","","","NDLS","HYB","01:20","01:30","00:10H","Y","Y","Y","Y","Y","1A","2A","12724","https://etrain.info/train/Telangana-Exp-12724/schedule","TELANGANA EXP","3A","SL"
"","","","PURI","INDB","01:30","01:40","00:10H","X","X","X","X","X","3A","SL","20918","https://etrain.info/train/Indb-Humsafar-Ex-20918/schedule","INDB HUMSAFAR EX","",""
"","","","MAS","NZM","02:05","02:15","00:10H","Y","X","X","X","X","1A","2A","","","","3A",""
"","","","BSP","NDLS","02:05","02:15","00:10H","Y","X","X","X","X","1A","2A","","","","3A",""
"","","","MAS","NZM","02:05","02:15","00:10H","X","X","X","X","X","3A","","","","","",""
"","","","SC","NZM","02:05","02:15","00:10H","X","X","X","X","X","1A","2A","","","","3A",""
"","","","CDG","MDU","02:10","02:20","00:10H","Y","X","X","X","X","2A","3A","20494","https://etrain.info/train/Cdg-Mdu-Sf-Exp-20494/schedule","CDG MDU SF EXP","3E","SL"
